Date,ret,pred_ret,resid
2024-08-10,0.1080587777320714,0.012663062865883506,0.09539571486618789
2024-08-11,0.6356810250918874,0.5163466131977941,0.11933441189409333
2024-08-12,0.8380440468113476,-0.17331521661313654,1.0113592634244841
2024-09-01,-1.7741935452999487,-1.0293731219607385,-0.7448204233392102
2024-09-02,0.028800414579101652,0.2462905629621165,-0.21749014838301484
2024-09-03,0.7862775382353684,0.8227364378183923,-0.03645889958302395
2024-09-04,0.053902862956773934,-0.20873981118768803,0.26264267414446196
2024-09-05,-0.21710231891378062,-0.352614084896716,0.13551176598293535
2024-09-06,-0.03575600752995722,0.253770062258179,-0.2895260697881362
2024-09-07,-0.3112821488176485,0.03037525568099443,-0.3416574044986429
2024-09-08,-0.03347093464294071,0.03698420984529732,-0.07045514448823803
2024-09-09,-0.001395583565931613,-0.10700282626724852,0.10560724270131691
2024-09-10,0.03882094843321893,-0.1809856696751671,0.21980661810838603
2024-09-11,0.7064135671407823,0.8115143697244627,-0.10510080258368037
2024-09-12,0.6396213513963563,-0.2294401331645699,0.8690614845609262
2024-10-01,-1.6094595609409503,-0.7720505005833617,-0.8374090603575887
2024-10-02,-0.018176762074693986,0.1170562439086601,-0.13523300598335408
2024-10-03,0.7353628984530034,0.6695725807382948,0.06579031771470856
2024-10-04,0.1629096359448443,-0.24165887396965824,0.40456850991450255
2024-10-05,-0.32820878318315505,-0.3230355623931068,-0.0051732207900482274
2024-10-06,0.004910456144785913,0.3078815493771144,-0.3029710932323285
2024-10-07,-0.2926041504474055,0.13469990381661506,-0.42730405426402057
2024-10-08,-0.0264525998174423,0.022360490011117316,-0.048813089828559614
2024-10-09,-0.02395334661116255,-0.21377437717175696,0.1898210305605944
2024-10-10,0.0313214750814228,-0.20049809485586045,0.23181956993728325
2024-10-11,0.968301794221899,0.5398279016949379,0.4284738925269611
2024-10-12,0.3461176684993028,-0.25051797865553443,0.5966356471548373
2024-11-01,-1.5394401620946918,-0.7231176476511317,-0.8163225144435601
2024-11-02,-0.0414006732884169,0.3086228840789639,-0.3500235573673808
2024-11-03,0.8069852875245054,0.7899210049105236,0.01706428261398174
2024-11-04,0.06410054776806784,-0.39358525877338885,0.4576858065414567
2024-11-05,-0.30560188138092603,-0.3026365012189868,-0.0029653801619392572
2024-11-06,-0.0343059187775101,0.1942278988045602,-0.2285338175820703
2024-11-07,-0.25829526795259516,0.18273621927797173,-0.4410314872305669
2024-11-08,-0.058897578849067767,0.12343221371745672,-0.18232979256652448
2024-11-09,0.008041891795766531,-0.23473815514769453,0.24278004694346106
2024-11-10,0.088265802517971,-0.14606489541946335,0.23433069793743436
2024-11-11,1.1494417573394236,0.33493823726108507,0.8145035200783385
2024-11-12,0.17049002323137008,-0.28200399113880226,0.45249401437017234
2024-12-01,-1.6444522550909886,-0.7661415620676488,-0.8783106930233398
2024-12-02,0.02831630967772325,0.32945117289013853,-0.3011348632124153
2024-12-03,0.7139030150073136,0.7206647096453285,-0.0067616946380149034
2024-12-04,0.03765966282093114,-0.5145414561848514,0.5522011190057825
2024-12-05,-0.21208358244755043,-0.1993826164135975,-0.012700966033952932
2024-12-06,0.03455128739620128,0.16814681482057067,-0.1335955274243694
2024-12-07,-0.30573784214769173,0.10023133159684021,-0.40596917374453195
2024-12-08,0.0007612005812842604,0.00570007446002831,-0.00493887387874405
2024-12-09,-0.04719588717882495,-0.3956253229688016,0.34842943578997665
2024-12-10,0.08049530879547362,-0.0021293292022947913,0.08262463799776841
2024-12-11,1.2327280920190424,0.5876327064718272,0.6450953855472152
2024-12-12,0.06170297684829129,-0.34188288144949325,0.40358585829778454
2025-01-01,-0.22601443795155507,-0.8563516541800096,0.6303372162284545
2025-01-02,-0.05042934527130227,0.08470600915181534,-0.1351353544231176
2025-01-03,-0.4007786627185139,0.20949529624347824,-0.6102739589619921
2025-01-04,-0.170930085265536,-0.030975104638368584,-0.1399549806271674
2025-01-05,0.03761518433872446,0.35961746512698556,-0.3220022807882611
2025-01-06,0.06879484461039831,0.06373694181668761,0.005057902793710697
2025-01-07,-0.2049416824566448,-0.06303800048308636,-0.14190368197355843
2025-01-08,0.2433611423965465,0.011659613380401876,0.2317015290161446
2025-01-09,0.04393737246213836,-0.49920370696405736,0.5431410794261957
2025-01-10,0.16658312075815007,-0.15126022690914578,0.31784334766729583
2025-02-01,0.30994954539605324,-0.04691535326780803,0.3568648986638613
2025-02-02,-0.23569572253943893,0.0046160400244991545,-0.2403117625639381
2025-02-03,-0.11157315035020354,0.10610018663561036,-0.2176733369858139
2025-02-04,-0.3765253576867966,0.21907327238292085,-0.5955986300697175
2025-02-05,0.10062503713308901,0.09625004029550108,0.0043749968375879356
2025-02-06,0.07331777616255764,0.10663569326717598,-0.033317917104618344
2025-02-07,-0.1467569887140323,0.06181070742386633,-0.20856769613789863
2025-02-08,0.1251526173668096,-0.14952991766100435,0.2746825350278139
2025-02-09,0.11639796701322558,0.08065128023395823,0.035746686779267345
2025-02-10,0.19831282614260237,-0.1269610960690621,0.3252739222116645
2025-03-01,0.37016806160107985,-0.23258930897576538,0.6027573705768452
2025-03-02,-0.2857688695014595,-0.06935285881005401,-0.2164160106914055
2025-03-03,-0.35881653427265614,-0.04648986838089992,-0.3123266658917562
2025-03-04,-0.20572005459657272,0.4055157234654672,-0.6112357780620399
2025-03-05,0.08113580118871777,0.09985237552926257,-0.0187165743405448
2025-03-06,0.0943025843820986,-0.018083034836740036,0.11238561921883863
2025-03-07,-0.11571287174423883,-0.09674955317283332,-0.018963318571405513
