Date,ret,lag_1,lag_2,lag_5,lag_10,bench_ret,bench_lag_1,bench_lag_2,bench_lag_5,bench_lag_10
2023-01-12,0.19731342615896974,0.08560599050950124,-0.01032740487304551,-0.04307300339482012,0.2934079267603149,0.05080318070100276,0.027621150182145726,0.014418133797157395,0.00018340612320066896,0.0038057003846692083
2023-02-01,-0.16005903135035782,0.19731342615896974,0.08560599050950124,0.1307345784124947,-0.13883216578134494,0.024945734672364495,0.05080318070100276,0.027621150182145726,0.00799308198098636,-0.0005162548246548937
2023-02-02,0.24157480286954014,-0.16005903135035782,0.19731342615896974,-0.20072619623121968,0.025143595358314563,-0.010674749984444176,0.024945734672364495,0.05080318070100276,0.006148589405821525,0.010934154000320717
2023-02-03,-0.12212317887115143,0.24157480286954014,-0.16005903135035782,-0.01032740487304551,-0.06425699333207513,-0.0009611359013330656,-0.010674749984444176,0.024945734672364495,0.014418133797157395,-0.0015728175329492444
2023-02-04,-0.017931747330616865,-0.12212317887115143,0.24157480286954014,0.08560599050950124,-0.09758116631687264,-0.0050223137687126496,-0.0009611359013330656,-0.010674749984444176,0.027621150182145726,0.006820792124189623
2023-02-05,-0.003584700701289467,-0.017931747330616865,-0.12212317887115143,0.19731342615896974,-0.04307300339482012,-0.016254488201415285,-0.0050223137687126496,-0.0009611359013330656,0.05080318070100276,0.00018340612320066896
2023-02-06,-0.0818588785618517,-0.003584700701289467,-0.017931747330616865,-0.16005903135035782,0.1307345784124947,-0.008555376392187952,-0.016254488201415285,-0.0050223137687126496,0.024945734672364495,0.00799308198098636
2023-02-07,-0.06506383477794664,-0.0818588785618517,-0.003584700701289467,0.24157480286954014,-0.20072619623121968,0.021910195683307876,-0.008555376392187952,-0.016254488201415285,-0.010674749984444176,0.006148589405821525
2023-02-08,0.08687291511033157,-0.06506383477794664,-0.0818588785618517,-0.12212317887115143,-0.01032740487304551,-0.01406372256307975,0.021910195683307876,-0.008555376392187952,-0.0009611359013330656,0.014418133797157395
2023-02-09,-0.15599394830950253,0.08687291511033157,-0.06506383477794664,-0.017931747330616865,0.08560599050950124,-0.05007294814467933,-0.01406372256307975,0.021910195683307876,-0.0050223137687126496,0.027621150182145726
2023-02-10,-0.02284372872203111,-0.15599394830950253,0.08687291511033157,-0.003584700701289467,0.19731342615896974,-0.007722817783527347,-0.05007294814467933,-0.01406372256307975,-0.016254488201415285,0.05080318070100276
2023-02-11,0.09043499587626913,-0.02284372872203111,-0.15599394830950253,-0.0818588785618517,-0.16005903135035782,0.010095720795026963,-0.007722817783527347,-0.05007294814467933,-0.008555376392187952,0.024945734672364495
2023-02-12,0.23904956977906178,0.09043499587626913,-0.02284372872203111,-0.06506383477794664,0.24157480286954014,-0.003787160533462952,0.010095720795026963,-0.007722817783527347,0.021910195683307876,-0.010674749984444176
2023-03-01,-0.20242747948750894,0.23904956977906178,0.09043499587626913,0.08687291511033157,-0.12212317887115143,0.021336804697295264,-0.003787160533462952,0.010095720795026963,-0.01406372256307975,-0.0009611359013330656
2023-03-02,0.2773009873535397,-0.20242747948750894,0.23904956977906178,-0.15599394830950253,-0.017931747330616865,-0.007261350023503255,0.021336804697295264,-0.003787160533462952,-0.05007294814467933,-0.0050223137687126496
2023-03-03,-0.19155454417182805,0.2773009873535397,-0.20242747948750894,-0.02284372872203111,-0.003584700701289467,-0.04856242575109526,-0.007261350023503255,0.021336804697295264,-0.007722817783527347,-0.016254488201415285
2023-03-04,0.2242655984631492,-0.19155454417182805,0.2773009873535397,0.09043499587626913,-0.0818588785618517,-0.00041730360595337856,-0.04856242575109526,-0.007261350023503255,0.010095720795026963,-0.008555376392187952
2023-03-05,-0.18673805552279799,0.2242655984631492,-0.19155454417182805,0.23904956977906178,-0.06506383477794664,0.003668954563790905,-0.00041730360595337856,-0.04856242575109526,-0.003787160533462952,0.021910195683307876
2023-03-06,-0.09249025188251725,-0.18673805552279799,0.2242655984631492,-0.20242747948750894,0.08687291511033157,-0.00025658420607754806,0.003668954563790905,-0.00041730360595337856,0.021336804697295264,-0.01406372256307975
2023-03-07,-0.061257040971460786,-0.09249025188251725,-0.18673805552279799,0.2773009873535397,-0.15599394830950253,-0.009406138910838635,-0.00025658420607754806,0.003668954563790905,-0.007261350023503255,-0.05007294814467933
2023-03-08,0.07416339010517348,-0.061257040971460786,-0.09249025188251725,-0.19155454417182805,-0.02284372872203111,-0.022837314918541907,-0.009406138910838635,-0.00025658420607754806,-0.04856242575109526,-0.007722817783527347
2023-03-09,-0.1529717545881626,0.07416339010517348,-0.061257040971460786,0.2242655984631492,0.09043499587626913,-0.06442451362971724,-0.022837314918541907,-0.009406138910838635,-0.00041730360595337856,0.010095720795026963
2023-03-10,-0.028695247929527934,-0.1529717545881626,0.07416339010517348,-0.18673805552279799,0.23904956977906178,-0.008669656699224149,-0.06442451362971724,-0.022837314918541907,0.003668954563790905,-0.003787160533462952
2023-03-11,0.10444132676310369,-0.028695247929527934,-0.1529717545881626,-0.09249025188251725,-0.20242747948750894,0.021812221456825043,-0.008669656699224149,-0.06442451362971724,-0.00025658420607754806,0.021336804697295264
2023-03-12,0.2282373915153122,0.10444132676310369,-0.028695247929527934,-0.061257040971460786,0.2773009873535397,0.07160391171997382,0.021812221456825043,-0.008669656699224149,-0.009406138910838635,-0.007261350023503255
2023-04-01,-0.15615973671831096,0.2282373915153122,0.10444132676310369,0.07416339010517348,-0.19155454417182805,-0.0023712364649810524,0.07160391171997382,0.021812221456825043,-0.022837314918541907,-0.04856242575109526
